"","age_of_exp","property_type","room_type","accommodates","price","min_cost_per_night","host_response_time","host_response_rate","review_scores_cleanliness","review_scores_value","total_revenue_clean","log_total_revenue","rev_per_2_guest_clean","log_price","log_review_scores_value","log_age_of_exp","sqrt_age_of_exp","log_review_scores_rating","log_accommodates","sqrt_accommodates","log_host_response_rate"
"1",8.93,"Apartment","Entire home/apt",4,130,"$520","within a day",0.8,10,10,11440,9.34495867370094,130,4.87519732320115,2.39789527279837,2.29556047805708,2.98831055949679,4.59511985013459,1.6094379124341,2,0.587786664902119
"2",8.8,"Apartment","Private room",2,59,"$207","within an hour",1,10,10,44712,10.70801956606,69,4.0943445622221,2.39789527279837,2.28238238567653,2.96647939483827,4.58496747867057,1.09861228866811,1.4142135623731,0.693147180559945
"3",8.74,"Apartment","Entire home/apt",4,95,"$285","within a few hours",1,9,9,8550,9.05380351415596,95,4.56434819146784,2.30258509299405,2.27624111765444,2.9563490998189,4.53259949315326,1.6094379124341,2,0.693147180559945
"4",8.62,"Apartment","Entire home/apt",2,100,"$220","within a day",1,10,10,8800,9.08262063037381,110,4.61512051684126,2.39789527279837,2.26384426467762,2.93598365118064,4.58496747867057,1.09861228866811,1.4142135623731,0.693147180559945
"5",8.57,"Apartment","Entire home/apt",6,250,"$500","within a day",0.89,10,6,1000,6.90875477931522,250,5.52545293913178,1.94591014905531,2.25863320546486,2.92745623366089,4.61512051684126,1.94591014905531,2.44948974278318,0.636576829071551
"6",8.57,"Apartment","Private room",2,115,"$115","within a day",0.89,9,9,920,6.82546003625531,115,4.75359019110636,2.30258509299405,2.25863320546486,2.92745623366089,4.56434819146784,1.09861228866811,1.4142135623731,0.636576829071551
"7",8.53,"House","Private room",2,80,"$240","within an hour",1,10,9,15840,9.67035679468885,80,4.39444915467244,2.30258509299405,2.25444471766611,2.92061637330205,4.56434819146784,1.09861228866811,1.4142135623731,0.693147180559945
"8",8.35,"Apartment","Private room",3,80,"$480","within a day",1,10,9,34560,10.4504811576846,80,4.39444915467244,2.30258509299405,2.2353763433006,2.88963665535998,4.57471097850338,1.38629436111989,1.73205080756888,0.693147180559945
"9",8.2,"Apartment","Entire home/apt",3,100,"$700","within a few hours",1,9,10,4200,8.34307787116938,100,4.61512051684126,2.39789527279837,2.21920348405499,2.86356421265527,4.56434819146784,1.38629436111989,1.73205080756888,0.693147180559945
"10",8.08,"Apartment","Entire home/apt",3,95,"$285","within a day",0.75,10,10,1140,7.03966034986208,95,4.56434819146784,2.39789527279837,2.2060741926132,2.84253408071038,4.61512051684126,1.38629436111989,1.73205080756888,0.559615787935423
